id,base_currency,quote_currency
DASH-BTC,DASH,BTC
ETH-DAI,ETH,DAI
USDC-GBP,USDC,GBP
ERN-EUR,ERN,EUR
BTRST-BTC,BTRST,BTC
FIL-USD,FIL,USD
SUKU-USD,SUKU,USD
ETH-EUR,ETH,EUR
AGLD-USDT,AGLD,USDT
ATOM-BTC,ATOM,BTC
LINK-GBP,LINK,GBP
ATOM-USD,ATOM,USD
BTC-EUR,BTC,EUR
MIR-GBP,MIR,GBP
APE-USD,APE,USD
AIOZ-USD,AIOZ,USD
LCX-USD,LCX,USD
AAVE-BTC,AAVE,BTC
XYO-USD,XYO,USD
RAD-GBP,RAD,GBP
CTSI-BTC,CTSI,BTC
WBTC-USD,WBTC,USD
WLUNA-USD,WLUNA,USD
LINK-USDT,LINK,USDT
SOL-USD,SOL,USD
FX-USD,FX,USD
RLY-USDT,RLY,USDT
VGX-EUR,VGX,EUR
RNDR-EUR,RNDR,EUR
LRC-BTC,LRC,BTC
MATIC-GBP,MATIC,GBP
PAX-USDT,PAX,USDT
MANA-EUR,MANA,EUR
LPT-USD,LPT,USD
UMA-USD,UMA,USD
HIGH-USD,HIGH,USD
FIL-EUR,FIL,EUR
ZRX-USD,ZRX,USD
ALICE-USD,ALICE,USD
ZEC-BTC,ZEC,BTC
QSP-USD,QSP,USD
UNI-EUR,UNI,EUR
MDT-USDT,MDT,USDT
API3-USD,API3,USD
BNT-GBP,BNT,GBP
REN-BTC,REN,BTC
BNT-BTC,BNT,BTC
RAD-BTC,RAD,BTC
CTX-USDT,CTX,USDT
UST-EUR,UST,EUR
STX-USDT,STX,USDT
ASM-USDT,ASM,USDT
PERP-EUR,PERP,EUR
BTC-GBP,BTC,GBP
ERN-USDT,ERN,USDT
POWR-EUR,POWR,EUR
MASK-EUR,MASK,EUR
ENS-EUR,ENS,EUR
STORJ-BTC,STORJ,BTC
MIR-BTC,MIR,BTC
FOX-USD,FOX,USD
BCH-GBP,BCH,GBP
SPELL-USDT,SPELL,USDT
POLS-USDT,POLS,USDT
GTC-USD,GTC,USD
ORN-USD,ORN,USD
LINK-EUR,LINK,EUR
UST-USDT,UST,USDT
WCFG-GBP,WCFG,GBP
SUSHI-BTC,SUSHI,BTC
CGLD-BTC,CGLD,BTC
FORTH-BTC,FORTH,BTC
MANA-ETH,MANA,ETH
FET-USDT,FET,USDT
REQ-BTC,REQ,BTC
SHIB-USD,SHIB,USD
BAND-BTC,BAND,BTC
LRC-USD,LRC,USD
FORTH-GBP,FORTH,GBP
LOOM-USD,LOOM,USD
BTRST-EUR,BTRST,EUR
LOOM-USDC,LOOM,USDC
NKN-EUR,NKN,EUR
ASM-USD,ASM,USD
XLM-BTC,XLM,BTC
ADA-USD,ADA,USD
RAD-EUR,RAD,EUR
ANKR-USD,ANKR,USD
MIR-USD,MIR,USD
EOS-EUR,EOS,EUR
AIOZ-USDT,AIOZ,USDT
APE-EUR,APE,EUR
SKL-GBP,SKL,GBP
COMP-BTC,COMP,BTC
OMG-USD,OMG,USD
SNT-USD,SNT,USD
REP-USD,REP,USD
UPI-USD,UPI,USD
LQTY-USD,LQTY,USD
