id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status_message,auction_mode
GMT-USDT,GMT,USDT,0.1,75000,0.001,0.01,GMT/USDT,1,250000,False,False,0.03000000,False,True,False,False,,False
RLC-BTC,RLC,BTC,0.22,79000,0.0000001,0.01,RLC/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
DESO-USDT,DESO,USDT,0.01,2800,0.01,0.001,DESO/USDT,1,100000,False,False,0.03000000,False,True,False,False,,False
IDEX-USDT,IDEX,USDT,1,1100000,0.0001,0.1,IDEX/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
ICP-USDT,ICP,USDT,0.021,19000,0.01,0.0001,ICP/USDT,1,530000,False,False,0.03000000,False,False,False,False,,False
APE-USD,APE,USD,0.05,63000,0.001,0.01,APE/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
PLU-USD,PLU,USD,0.1,37000,0.01,0.01,PLU/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
SNX-USD,SNX,USD,0.1,140000,0.001,0.001,SNX/USD,1,690000,False,False,0.03000000,False,False,False,False,,False
TRAC-EUR,TRAC,EUR,0.4,200000,0.0001,0.1,TRAC/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
DIA-EUR,DIA,EUR,0.1,220000,0.00001,0.01,DIA/EUR,1,100000,False,False,0.03000000,False,True,False,False,,False
BAL-BTC,BAL,BTC,0.04,13000,0.00000001,0.01,BAL/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
BCH-USD,BCH,USD,0.0016,6600,0.01,0.00000001,BCH/USD,1,2500000,False,False,0.03000000,False,False,False,False,,False
STORJ-BTC,STORJ,BTC,0.57,190000,0.00000001,0.01,STORJ/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
WCFG-BTC,WCFG,BTC,0.57,240000,0.00000001,0.01,WCFG/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
LQTY-USDT,LQTY,USDT,0.1,28000,0.01,0.01,LQTY/USDT,1,100000,False,False,0.03000000,False,True,False,False,,False
IDEX-USD,IDEX,USD,1,1200000,0.0001,0.1,IDEX/USD,1,230000,False,False,0.03000000,False,False,False,False,,False
MANA-BTC,MANA,BTC,0.31,360000,0.0000001,0.01,MANA/BTC,0.000016,25,False,False,0.03000000,False,False,False,False,,False
ALGO-BTC,ALGO,BTC,1,600000,0.00000001,1,ALGO/BTC,0.000016,19,False,False,0.03000000,False,False,False,False,,False
DDX-EUR,DDX,EUR,0.16,59000,0.01,0.01,DDX/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
BADGER-EUR,BADGER,EUR,0.031,14000,0.01,0.001,BADGER/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
FIL-EUR,FIL,EUR,0.015,16000,0.01,0.001,FIL/EUR,0.84,400000,False,False,0.03000000,False,False,False,False,,False
CRV-EUR,CRV,EUR,0.23,120000,0.01,0.01,CRV/EUR,0.84,480000,False,False,0.03000000,False,False,False,False,,False
NKN-BTC,NKN,BTC,1.7,720000,0.00000001,0.1,NKN/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
BUSD-USD,BUSD,USD,0.1,250000,0.001,0.01,BUSD/USD,1,250000,False,True,0.01000000,False,True,False,False,,False
DNT-USDC,DNT,USDC,5,2100000,0.000001,1,DNT/USDC,1,220000,False,False,0.03000000,False,False,False,False,,False
GRT-USD,GRT,USD,0.96,2100000,0.0001,0.01,GRT/USD,1,1200000,False,False,0.03000000,False,False,False,False,,False
INV-USD,INV,USD,0.001,440,0.01,0.0001,INV/USD,1,100000,False,False,0.03000000,False,True,False,False,,False
ANKR-BTC,ANKR,BTC,7,3000000,0.00000001,1,ANKR/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
ZRX-USD,ZRX,USD,0.82,1200000,0.000001,0.00001,ZRX/USD,1,850000,False,False,0.03000000,False,False,False,False,,False
UST-USDT,UST,USDT,0.99,880000,0.00001,0.01,UST/USDT,1,880000,False,True,0.01000000,False,True,False,False,,False
ADA-USD,ADA,USD,0.5,3600000,0.0001,0.01,ADA/USD,1,5000000,False,False,0.03000000,False,False,False,False,,False
CVC-USDC,CVC,USDC,2,820000,0.000001,1,CVC/USDC,1,260000,False,False,0.03000000,False,False,False,False,,False
GST-USD,GST,USD,0.1,55000,0.001,0.01,GST/USD,1,250000,False,False,0.03000000,False,True,False,False,,False
FLOW-USDT,FLOW,USDT,0.01,35000,0.001,0.001,FLOW/USDT,1,250000,False,False,0.03000000,False,False,False,False,,False
POLY-USDT,POLY,USDT,1,430000,0.0001,1,POLY/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
ROSE-USDT,ROSE,USDT,1,970000,0.0001,0.1,ROSE/USDT,1,250000,False,False,0.03000000,False,False,False,False,,False
FORTH-BTC,FORTH,BTC,0.063,28000,0.0000001,0.001,FORTH/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
CTX-USD,CTX,USD,0.01,8900,0.01,0.001,CTX/USD,5,100000,False,False,0.03000000,False,False,False,False,,False
STX-USD,STX,USD,0.1,120000,0.01,0.01,STX/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
SNX-BTC,SNX,BTC,0.1,55000,0.0000001,0.01,SNX/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
SKL-GBP,SKL,GBP,2.7,1300000,0.0001,0.1,SKL/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,,False
DOT-BTC,DOT,BTC,0.021,41000,0.0000001,0.001,DOT/BTC,0.000016,25,False,False,0.03000000,False,False,False,False,,False
ALCX-EUR,ALCX,EUR,0.0024,750,0.01,0.0001,ALCX/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
MPL-USD,MPL,USD,0.01,12000,0.01,0.001,MPL/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
DDX-USD,DDX,USD,0.17,61000,0.01,0.01,DDX/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
GMT-USD,GMT,USD,0.1,75000,0.001,0.01,GMT/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
BTC-USDT,BTC,USDT,0.000016,58,0.01,0.00000001,BTC/USDT,1,2400000,False,False,0.03000000,False,False,False,False,,False
UNI-BTC,UNI,BTC,0.1,50000,0.0000001,0.1,UNI/BTC,0.000016,19,False,False,0.03000000,False,False,False,False,,False
OGN-BTC,OGN,BTC,0.92,420000,0.0000001,0.01,OGN/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
UMA-USD,UMA,USD,0.064,83000,0.001,0.001,UMA/USD,1,670000,False,False,0.03000000,False,False,False,False,,False
FARM-USDT,FARM,USDT,0.002,150,0.01,0.001,FARM/USDT,1,50000,False,False,0.03000000,False,True,False,False,,False
WLUNA-GBP,WLUNA,GBP,0.02,1500000000,0.00000001,0.001,WLUNA/GBP,0.72,160000,False,False,0.10000000,False,True,False,False,,False
SKL-EUR,SKL,EUR,2.7,1300000,0.0001,0.1,SKL/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
ANKR-EUR,ANKR,EUR,7,4200000,0.00001,1,ANKR/EUR,0.84,320000,False,False,0.03000000,False,False,False,False,,False
AGLD-USDT,AGLD,USDT,0.36,160000,0.01,0.01,AGLD/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
USDC-GBP,USDC,GBP,0.98,810000,0.0001,0.01,USDC/GBP,0.72,600000,False,True,0.01000000,False,False,False,False,,False
EOS-EUR,EOS,EUR,0.2,290000,0.001,0.1,EOS/EUR,0.84,700000,False,False,0.03000000,False,False,False,False,,False
AVAX-USDT,AVAX,USDT,0.011,20000,0.01,0.001,AVAX/USDT,1,1700000,False,False,0.03000000,False,False,False,False,,False
GFI-USD,GFI,USD,0.1,72000,0.01,0.01,GFI/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
NCT-EUR,NCT,EUR,10,21000000,0.00001,1,NCT/EUR,1,100000,False,False,0.03000000,False,False,False,False,,False
CLV-GBP,CLV,GBP,0.77,340000,0.0001,0.01,CLV/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,,False
SNX-GBP,SNX,GBP,0.099,40000,0.001,0.001,SNX/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,,False
YFII-USD,YFII,USD,0.00025,27,0.01,0.00000001,YFII/USD,1,110000,False,False,0.03000000,False,True,False,False,,False
ATOM-USD,ATOM,USD,0.1,110000,0.01,0.01,ATOM/USD,1,4000000,False,False,0.03000000,False,False,False,False,,False
MATIC-USD,MATIC,USD,0.5,2100000,0.0001,0.1,MATIC/USD,1,4600000,False,False,0.03000000,False,False,False,False,,False
1INCH-EUR,1INCH,EUR,0.22,88000,0.001,0.01,1INCH/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
UNFI-USD,UNFI,USD,0.1,28000,0.01,0.01,UNFI/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
EOS-BTC,EOS,BTC,0.2,160000,0.00000001,0.1,EOS/BTC,0.000016,11,False,False,0.03000000,False,False,False,False,,False
ZEN-BTC,ZEN,BTC,0.01,1300,0.0000001,0.001,ZEN/BTC,0.000016,2,False,False,0.03000000,False,False,False,False,,False
FIL-USD,FIL,USD,0.016,62000,0.01,0.001,FIL/USD,1,1800000,False,False,0.03000000,False,False,False,False,,False
CRO-USD,CRO,USD,1,3800000,0.0001,0.1,CRO/USD,1,1700000,False,False,0.03000000,False,False,False,False,,False
YFI-BTC,YFI,BTC,0.000029,11,0.0001,0.000001,YFI/BTC,0.00001,10,False,False,0.03000000,False,False,False,False,,False
PERP-EUR,PERP,EUR,0.059,23000,0.01,0.001,PERP/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
1INCH-USD,1INCH,USD,0.23,320000,0.001,0.01,1INCH/USD,1,710000,False,False,0.03000000,False,False,False,False,,False
FX-USD,FX,USD,0.8,280000,0.0001,0.1,FX/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
ETH-EUR,ETH,EUR,0.00021,2000,0.01,0.00000001,ETH/EUR,0.84,5600000,False,False,0.03000000,False,False,False,False,,False
SOL-USD,SOL,USD,0.004,53000,0.01,0.001,SOL/USD,1,7300000,False,False,0.03000000,False,False,False,False,,False
DOGE-EUR,DOGE,EUR,3.7,7300000,0.0001,0.1,DOGE/EUR,0.84,1100000,False,False,0.03000000,False,False,False,False,,False
GYEN-USD,GYEN,USD,47,3300000,0.000001,1,GYEN/USD,1,68000,False,True,0.01000000,False,True,False,False,,False
TRIBE-USD,TRIBE,USD,0.9,200000,0.0001,0.1,TRIBE/USD,1,210000,False,False,0.03000000,False,False,False,False,,False
BNT-BTC,BNT,BTC,1,67000,0.00000001,1,BNT/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
BTC-USDC,BTC,USDC,0.000016,110,1,0.00000001,BTC/USDC,1,4500000,False,False,0.03000000,False,False,False,False,,False
MANA-EUR,MANA,EUR,0.31,340000,0.001,0.01,MANA/EUR,0.84,850000,False,False,0.03000000,False,False,False,False,,False
AXS-USD,AXS,USD,0.007,24000,0.01,0.001,AXS/USD,1,1800000,False,False,0.03000000,False,False,False,False,,False
XYO-EUR,XYO,EUR,17,7100000,0.000001,0.1,XYO/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
RLY-USD,RLY,USD,1,660000,0.0001,1,RLY/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
COTI-USD,COTI,USD,1.9,1800000,0.0001,0.1,COTI/USD,1,620000,False,False,0.03000000,False,False,False,False,,False
DIA-USDT,DIA,USDT,0.1,220000,0.00001,0.01,DIA/USDT,1,100000,False,False,0.03000000,False,True,False,False,,False
DIA-USD,DIA,USD,0.1,220000,0.00001,0.01,DIA/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
BAT-USD,BAT,USD,0.92,1200000,0.001,0.01,BAT/USD,1,1200000,False,False,0.03000000,False,False,False,False,,False
RGT-USD,RGT,USD,0.025,7100,0.01,0.001,RGT/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
EOS-USD,EOS,USD,0.2,1200000,0.01,0.1,EOS/USD,1,3300000,False,False,0.03000000,False,False,False,False,,False
ACH-USD,ACH,USD,11,20000000,0.000001,0.1,ACH/USD,1,1100000,False,False,0.03000000,False,False,False,False,,False
LINK-USD,LINK,USD,0.03,280000,0.01,0.01,LINK/USD,1,6500000,False,False,0.03000000,False,False,False,False,,False
RAI-USD,RAI,USD,0.32,51000,0.01,0.01,RAI/USD,1,160000,False,False,0.03000000,False,True,False,False,,False
REN-USD,REN,USD,1,1300000,0.0001,0.000001,REN/USD,1,540000,False,False,0.03000000,False,False,False,False,,False
VGX-USDT,VGX,USDT,0.23,86000,0.001,0.01,VGX/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
BAND-GBP,BAND,GBP,0.11,39000,0.001,0.01,BAND/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,,False
ETH-USDT,ETH,USDT,0.00022,660,0.01,0.00000001,ETH/USDT,1,2100000,False,False,0.03000000,False,False,False,False,,False
NMR-USD,NMR,USD,0.023,7400,0.01,0.001,NMR/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
ORCA-USD,ORCA,USD,0.1,29000,0.01,0.01,ORCA/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
LOOM-USDC,LOOM,USDC,6,2300000,0.000001,1,LOOM/USDC,1,200000,False,False,0.03000000,False,False,False,False,,False
PLA-USD,PLA,USD,0.5,340000,0.0001,0.1,PLA/USD,1,350000,False,False,0.03000000,False,False,False,False,,False
OMG-GBP,OMG,GBP,0.1,47000,0.001,0.1,OMG/GBP,0.72,210000,False,False,0.03000000,False,False,False,False,,False
AUCTION-USDT,AUCTION,USDT,0.027,11000,0.01,0.001,AUCTION/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
1INCH-BTC,1INCH,BTC,0.23,91000,0.0000001,0.01,1INCH/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
SPELL-USD,SPELL,USD,10,79000000,0.00001,1,SPELL/USD,1,1100000,False,False,0.03000000,False,False,False,False,,False
REQ-BTC,REQ,BTC,4,770000,0.00000001,1,REQ/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
DOGE-GBP,DOGE,GBP,3.8,3800000,0.0001,0.1,DOGE/GBP,0.72,470000,False,False,0.03000000,False,False,False,False,,False
UNI-USD,UNI,USD,0.041,130000,0.01,0.000001,UNI/USD,1,2000000,False,False,0.03000000,False,False,False,False,,False
DOT-EUR,DOT,EUR,0.02,35000,0.01,0.001,DOT/EUR,0.84,770000,False,False,0.03000000,False,False,False,False,,False
DESO-USD,DESO,USD,0.01,2800,0.01,0.001,DESO/USD,1,100000,False,False,0.03000000,False,True,False,False,,False
UST-EUR,UST,EUR,0.96,390000,0.00001,0.01,UST/EUR,0.84,340000,False,True,0.01000000,False,True,False,False,,False
MASK-EUR,MASK,EUR,0.07,23000,0.01,0.01,MASK/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
MATIC-BTC,MATIC,BTC,0.5,720000,0.00000001,0.1,MATIC/BTC,0.000016,38,False,False,0.03000000,False,False,False,False,,False
QSP-USD,QSP,USD,10,11000000,0.00001,1,QSP/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
BICO-EUR,BICO,EUR,0.1,57000,0.01,0.01,BICO/EUR,1,170000,False,False,0.03000000,False,False,False,False,,False
CGLD-BTC,CGLD,BTC,0.16,110000,0.00000001,0.01,CGLD/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,,False
UMA-BTC,UMA,BTC,0.064,35000,0.00000001,0.001,UMA/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
BTRST-EUR,BTRST,EUR,0.16,74000,0.01,0.01,BTRST/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
MANA-USD,MANA,USD,0.32,1100000,0.001,0.01,MANA/USD,1,2900000,False,False,0.03000000,False,False,False,False,,False
BICO-USDT,BICO,USDT,0.1,59000,0.001,0.01,BICO/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
ZRX-EUR,ZRX,EUR,0.79,640000,0.0001,0.00001,ZRX/EUR,0.84,400000,False,False,0.03000000,False,False,False,False,,False
BTC-GBP,BTC,GBP,0.000015,150,0.01,0.00000001,BTC/GBP,0.72,4400000,False,False,0.03000000,False,False,False,False,,False
FOX-USD,FOX,USD,1,480000,0.0001,0.1,FOX/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
MANA-ETH,MANA,ETH,0.31,230000,0.0000001,0.01,MANA/ETH,0.00022,210,False,False,0.03000000,False,False,False,False,,False
LTC-BTC,LTC,BTC,0.0043,13000,0.000001,0.00000001,LTC/BTC,0.000016,42,False,False,0.03000000,False,False,False,False,,False
ADA-USDT,ADA,USDT,0.1,240000,0.001,0.01,ADA/USDT,1,100000,False,False,0.03000000,False,False,False,False,,False
ALCX-USD,ALCX,USD,0.0024,960,0.01,0.0001,ALCX/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
AUCTION-EUR,AUCTION,EUR,0.026,10000,0.01,0.001,AUCTION/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
MINA-USDT,MINA,USDT,0.1,160000,0.001,0.001,MINA/USDT,1,250000,False,False,0.03000000,False,True,False,False,,False
WLUNA-USDT,WLUNA,USDT,0.021,1500000000,0.00000001,0.001,WLUNA/USDT,1,620000,False,False,0.10000000,False,True,False,False,,False
POWR-EUR,POWR,EUR,1.3,70000,0.0001,0.1,POWR/EUR,0.84,43000,False,False,0.03000000,False,True,False,False,,False
