,close,date,high,low,open,time,unix,vol_fiat,volume
232,6.36e-06,2021-09-26,6.9e-06,6.18e-06,6.85e-06,2021-09-26,1632614400,18.217743,2864425
233,6.88e-06,2021-09-25,7.67e-06,6.34e-06,6.49e-06,2021-09-25,1632528000,32.58148528,4735681
234,6.5e-06,2021-09-24,6.76e-06,6.25e-06,6.61e-06,2021-09-24,1632441600,19.583109,3012786
235,6.61e-06,2021-09-23,6.88e-06,6.53e-06,6.69e-06,2021-09-23,1632355200,17.3462264,2624240
236,6.7e-06,2021-09-22,6.87e-06,6.25e-06,6.33e-06,2021-09-22,1632268800,32.465138100000004,4845543
237,6.31e-06,2021-09-21,6.88e-06,6.15e-06,6.39e-06,2021-09-21,1632182400,18.49524731,2931101
238,6.4e-06,2021-09-20,6.95e-06,6.3e-06,6.89e-06,2021-09-20,1632096000,27.462944,4291085
239,6.89e-06,2021-09-19,7.07e-06,6.83e-06,6.91e-06,2021-09-19,1632009600,12.11142114,1757826
240,6.92e-06,2021-09-18,7.27e-06,6.76e-06,6.86e-06,2021-09-18,1631923200,18.58909912,2686286
241,6.87e-06,2021-09-17,7.34e-06,6.73e-06,6.87e-06,2021-09-17,1631836800,23.22169233,3380159
242,6.89e-06,2021-09-16,7.93e-06,6.83e-06,7.11e-06,2021-09-16,1631750400,22.73336897,3299473
243,7.11e-06,2021-09-15,7.31e-06,6.65e-06,6.7e-06,2021-09-15,1631664000,33.93066906,4772246
244,6.7e-06,2021-09-14,7.19e-06,6.61e-06,6.95e-06,2021-09-14,1631577600,24.011862,3583860
245,6.96e-06,2021-09-13,7.07e-06,6.71e-06,7.06e-06,2021-09-13,1631491200,32.87056968,4722783
246,7.06e-06,2021-09-12,7.43e-06,6.81e-06,7e-06,2021-09-12,1631404800,22.1245574,3133790
247,7.02e-06,2021-09-11,7.11e-06,6.75e-06,6.87e-06,2021-09-11,1631318400,15.52114278,2210989
248,6.87e-06,2021-09-10,7.73e-06,6.75e-06,7.26e-06,2021-09-10,1631232000,33.41123511,4863353
249,7.25e-06,2021-09-09,7.73e-06,7.08e-06,7.25e-06,2021-09-09,1631145600,68.19049125,9405585
250,7.25e-06,2021-09-08,7.92e-06,6.91e-06,7.51e-06,2021-09-08,1631059200,71.48800875,9860415
251,7.5e-06,2021-09-07,9.24e-06,6.57e-06,9.15e-06,2021-09-07,1630972800,111.0385725,14805143
252,9.13e-06,2021-09-06,9.51e-06,6.49e-06,6.58e-06,2021-09-06,1630886400,158.1216483,17318910
253,6.56e-06,2021-09-05,7e-06,6.55e-06,6.75e-06,2021-09-05,1630800000,26.08848368,3976903
254,6.76e-06,2021-09-04,7.33e-06,6.49e-06,6.64e-06,2021-09-04,1630713600,23.796552,3520200
255,6.67e-06,2021-09-03,6.83e-06,6.36e-06,6.63e-06,2021-09-03,1630627200,19.28026198,2890594
