,close,date,high,low,open,time,unix,vol_fiat,volume
200,7938.05,2020-03-11,7987.97,7583.27,7894.68,2020-03-11,1583884800,108337435.86473382,13647.86513876
201,7894.68,2020-03-10,8158.25,7733.56,7934.56,2020-03-10,1583798400,135571165.7312892,17172.47130109
202,7934.52,2020-03-09,8187.03,7630.0,8037.73,2020-03-09,1583712000,202835007.9408059,25563.61417462
203,8037.76,2020-03-08,8901.37,8002.2,8901.36,2020-03-08,1583625600,133361823.49377756,16591.91410216
204,8901.37,2020-03-07,9214.67,8850.47,9158.51,2020-03-07,1583539200,57665329.97776068,6478.25334502
205,9158.51,2020-03-06,9182.08,9000.01,9070.18,2020-03-06,1583452800,58817131.31727611,6422.12885254
206,9070.17,2020-03-05,9174.24,8759.99,8759.99,2020-03-05,1583366400,91366672.3697934,10073.31421239
207,8760.66,2020-03-04,8847.0,8670.57,8757.83,2020-03-04,1583280000,49835759.91509556,5688.58509691
208,8757.84,2020-03-03,8927.45,8635.31,8919.21,2020-03-03,1583193600,80157942.82917875,9152.7069265
209,8915.0,2020-03-02,8973.45,8487.33,8522.3,2020-03-02,1583107200,91081814.03662457,10216.69254477
210,8522.31,2020-03-01,8752.34,8400.0,8523.33,2020-03-01,1583020800,62665735.18461608,7353.13960471
211,8525.07,2020-02-29,8799.0,8520.67,8708.61,2020-02-29,1582934400,43841948.28774558,5142.70830477
212,8708.89,2020-02-28,8899.94,8428.8,8814.9,2020-02-28,1582848000,118817876.16786475,13643.28590301
213,8812.49,2020-02-27,8972.92,8520.0,8778.3,2020-02-27,1582761600,130257592.72547483,14781.02020263
214,8778.3,2020-02-26,9375.36,8602.0,9304.99,2020-02-26,1582675200,189703126.4708564,21610.46289952
215,9305.0,2020-02-25,9681.56,9230.0,9660.0,2020-02-25,1582588800,87195331.78546485,9370.80406077
216,9660.0,2020-02-24,10030.0,9474.74,9965.0,2020-02-24,1582502400,108914879.1305358,11274.83220813
217,9965.01,2020-02-23,10025.66,9667.13,9668.23,2020-02-23,1582416000,56122311.36160765,5631.93728472
218,9668.23,2020-02-22,9722.97,9575.01,9695.66,2020-02-22,1582329600,31917182.683762133,3301.24362823
219,9695.66,2020-02-21,9769.66,9566.98,9610.05,2020-02-21,1582243200,68580953.51186095,7073.36617743
220,9610.05,2020-02-20,9698.1,9393.39,9593.48,2020-02-20,1582156800,118991735.78988436,12382.01006133
221,9600.08,2020-02-19,10315.0,9280.98,10188.04,2020-02-19,1582070400,159717012.3932599,16637.05014888
222,10188.04,2020-02-18,10298.25,9610.27,9700.0,2020-02-18,1581984000,118248111.06875508,11606.56132767
223,9700.0,2020-02-17,9969.38,9467.0,9920.52,2020-02-17,1581897600,98402891.838135,10144.62802455
224,9921.0,2020-02-16,10048.34,9612.12,9911.22,2020-02-16,1581811200,93558292.80826136,9430.32887897
225,9911.22,2020-02-15,10400.0,9750.0,10371.33,2020-02-15,1581724800,122138824.40875478,12323.28859704
226,10371.33,2020-02-14,10395.66,10102.5,10236.49,2020-02-14,1581638400,83245440.90478219,8026.49620683
227,10236.49,2020-02-13,10522.51,10083.1,10351.13,2020-02-13,1581552000,175057136.46924818,17101.28534969
228,10351.13,2020-02-12,10483.86,10250.0,10270.01,2020-02-12,1581465600,142234720.53832853,13740.9848527
229,10270.01,2020-02-11,10400.0,9706.0,9851.78,2020-02-11,1581379200,171735783.1831233,16722.06581913
230,9851.78,2020-02-10,10199.0,9736.0,10168.36,2020-02-10,1581292800,130532017.70996615,13249.58715176
231,10168.35,2020-02-09,10178.91,9888.76,9905.64,2020-02-09,1581206400,98122029.17970818,9649.74938704
232,9905.64,2020-02-08,9955.0,9653.47,9807.92,2020-02-08,1581120000,80245303.59295166,8100.97112281
233,9808.05,2020-02-07,9885.0,9713.99,9763.01,2020-02-07,1581033600,83531517.22913146,8516.62840515
234,9763.01,2020-02-06,9857.0,9521.47,9613.91,2020-02-06,1580947200,123718198.12042151,12672.13678163
235,9613.82,2020-02-05,9769.7,9150.0,9164.33,2020-02-05,1580860800,127547145.38722768,13267.06193659
236,9164.33,2020-02-04,9350.0,9078.05,9280.49,2020-02-04,1580774400,75062726.66467522,8190.74898707
237,9280.49,2020-02-03,9619.95,9220.0,9325.01,2020-02-03,1580688000,110533287.61171636,11910.28572971
238,9323.5,2020-02-02,9480.0,9140.0,9380.18,2020-02-02,1580601600,68135419.29417986,7307.92291459
239,9380.18,2020-02-01,9458.08,9285.01,9334.98,2020-02-01,1580515200,41154788.04132277,4387.41986202
240,9334.98,2020-01-31,9522.5,9195.49,9502.71,2020-01-31,1580428800,90727242.9898179,9719.06131452
241,9503.08,2020-01-30,9574.68,9171.11,9287.9,2020-01-30,1580342400,123049658.90559076,12948.39766745
242,9288.44,2020-01-29,9439.83,9224.75,9391.14,2020-01-29,1580256000,113625956.87396932,12233.05063864
243,9394.5,2020-01-28,9418.91,8880.87,8895.95,2020-01-28,1580169600,165141594.60146743,17578.54006083
244,8895.96,2020-01-27,8985.0,8556.6,8595.0,2020-01-27,1580083200,84944005.91234374,9548.60475006
245,8595.0,2020-01-26,8595.0,8278.68,8326.8,2020-01-26,1579996800,47249490.66697935,5497.32293973
246,8326.81,2020-01-25,8437.76,8252.73,8427.58,2020-01-25,1579910400,31502056.84582896,3783.20831697
247,8427.26,2020-01-24,8509.99,8216.71,8385.21,2020-01-24,1579824000,72769119.77945516,8634.96792308
248,8385.22,2020-01-23,8665.0,8278.0,8660.38,2020-01-23,1579737600,102352048.95538254,12206.24491133
249,8660.38,2020-01-22,8791.76,8565.0,8722.03,2020-01-22,1579651200,47470743.7272899,5481.36960818
