,close,date,high,low,open,time,unix,vol_fiat,volume
194,0.00010339,2021-11-04,0.00010394,9.93e-05,0.00010037,2021-11-04,1635984000,26.3946078291,255291.69
195,0.00010034,2021-11-03,0.00010342,9.735e-05,9.895e-05,2021-11-03,1635897600,32.5081903258,323980.37
196,9.906e-05,2021-11-02,0.00010252,9.816e-05,0.00010251,2021-11-02,1635811200,24.485063374200003,247174.07
197,0.00010248,2021-11-01,0.00010361,9.948e-05,0.0001036,2021-11-01,1635724800,30.419846536799994,296836.91
198,0.0001037,2021-10-31,0.00010697,9.96e-05,0.00010174,2021-10-31,1635638400,37.359166289,360261.97
199,0.00010186,2021-10-30,0.00010999,0.00010095,0.00010538,2021-10-30,1635552000,48.3986394518,475148.63
200,0.00010549,2021-10-29,0.00010849,0.00010003,0.0001012,2021-10-29,1635465600,39.00702147649999,369769.85
201,0.00010142,2021-10-28,0.00010408,9.88e-05,0.00010107,2021-10-28,1635379200,33.1077709666,326442.23
202,0.00010078,2021-10-27,0.00011313,9.7e-05,0.00011304,2021-10-27,1635292800,63.677409646,631845.7
203,0.00011297,2021-10-26,0.00011536,0.00010516,0.00010516,2021-10-26,1635206400,52.0625814852,460853.16
204,0.00010512,2021-10-25,0.0001069,0.00010306,0.00010632,2021-10-25,1635120000,22.1624716752,210830.21
205,0.00010642,2021-10-24,0.00011015,0.00010517,0.0001099,2021-10-24,1635033600,21.095837733800003,198231.89
206,0.00010987,2021-10-23,0.00011161,0.0001087,0.00011049,2021-10-23,1634947200,30.7570143922,279940.06
207,0.00011041,2021-10-22,0.00011064,0.0001066,0.00010704,2021-10-22,1634860800,37.5102351985,339735.85
208,0.00010694,2021-10-21,0.00010934,0.00010526,0.00010632,2021-10-21,1634774400,45.4193204626,424717.79
209,0.0001063,2021-10-20,0.00010804,0.00010225,0.00010499,2021-10-20,1634688000,68.005081651,639746.77
210,0.00010494,2021-10-19,0.00011045,0.0001035,0.00010556,2021-10-19,1634601600,78.8236755966,751130.89
211,0.00010556,2021-10-18,0.00010757,0.0001032,0.00010757,2021-10-18,1634515200,33.903533845999995,321177.85
212,0.00010773,2021-10-17,0.00011404,0.00010724,0.00011351,2021-10-17,1634428800,39.3057386568,364854.16
213,0.00011347,2021-10-16,0.00011604,0.00011051,0.000111,2021-10-16,1634342400,73.88283376460001,651122.18
214,0.00011102,2021-10-15,0.00012465,0.00011021,0.00012427,2021-10-15,1634256000,113.7419250786,1024517.43
215,0.00012449,2021-10-14,0.00012834,0.00012236,0.00012745,2021-10-14,1634169600,69.8276722061,560909.89
216,0.00012741,2021-10-13,0.00012995,0.00012347,0.00012634,2021-10-13,1634083200,62.6527093431,491740.91
217,0.00012644,2021-10-12,0.00013004,0.00011656,0.00012032,2021-10-12,1633996800,106.7545918032,844310.28
218,0.00012007,2021-10-11,0.00013015,0.00011608,0.00012764,2021-10-11,1633910400,98.1809052054,817697.22
219,0.00012755,2021-10-10,0.00014845,0.00012685,0.00013896,2021-10-10,1633824000,86.18949415200001,675731.04
220,0.00013896,2021-10-09,0.00013896,0.00013305,0.00013498,2021-10-09,1633737600,52.4840636448,377691.88
221,0.00013548,2021-10-08,0.00014348,0.00013325,0.00014139,2021-10-08,1633651200,57.4019059632,423692.84
222,0.00014159,2021-10-07,0.00014777,0.00013548,0.0001401,2021-10-07,1633564800,83.5068666619,589779.41
223,0.00014005,2021-10-06,0.00015627,0.0001381,0.00015424,2021-10-06,1633478400,155.2274327765,1108371.53
224,0.00015407,2021-10-05,0.00017247,0.00015172,0.00016903,2021-10-05,1633392000,103.442212825,671397.5
225,0.00016916,2021-10-04,0.00019086,0.00016733,0.00018044,2021-10-04,1633305600,181.54446748960004,1073211.56
226,0.0001803,2021-10-03,0.00018598,0.00015415,0.00015415,2021-10-03,1633219200,320.99254341,1780324.7
227,0.00015425,2021-10-02,0.00016288,0.00013688,0.00013885,2021-10-02,1633132800,204.3529991125,1324816.85
228,0.00013895,2021-10-01,0.0001535,0.00013521,0.00013873,2021-10-01,1633046400,196.3441464845,1413056.11
229,0.00013857,2021-09-30,0.00014026,0.00013336,0.00013557,2021-09-30,1632960000,66.1127197614,477107.02
230,0.00013564,2021-09-29,0.00014317,0.000131,0.00013317,2021-09-29,1632873600,68.55595415559999,505425.79
231,0.00013323,2021-09-28,0.00014758,0.00013276,0.0001429,2021-09-28,1632787200,61.1003678214,458608.18
232,0.00014301,2021-09-27,0.00015102,0.000141,0.00015102,2021-09-27,1632700800,71.7777501021,501907.21
233,0.00015104,2021-09-26,0.00016702,0.00015006,0.00015973,2021-09-26,1632614400,93.08353536,616284.0
234,0.00015977,2021-09-25,0.00017611,0.00015963,0.00016445,2021-09-25,1632528000,139.1281457813,870802.69
235,0.00016427,2021-09-24,0.00017204,0.00013809,0.00013889,2021-09-24,1632441600,322.9491789682,1965965.66
236,0.00013837,2021-09-23,0.00014769,0.00012757,0.00012806,2021-09-23,1632355200,190.1929398443,1374524.39
237,0.00012788,2021-09-22,0.00012905,0.00011106,0.00011499,2021-09-22,1632268800,106.1200338312,829840.74
238,0.0001151,2021-09-21,0.00012765,0.00011265,0.00012322,2021-09-21,1632182400,123.948146756,1076873.56
239,0.00012333,2021-09-20,0.00013843,0.00011299,0.00013797,2021-09-20,1632096000,150.7065294738,1221977.86
240,0.00013805,2021-09-19,0.00014725,0.00012939,0.00013259,2021-09-19,1632009600,248.691379057,1801458.74
241,0.00013251,2021-09-18,0.0001386,0.00012542,0.00012912,2021-09-18,1631923200,126.2529877833,952780.83
242,0.0001292,2021-09-17,0.00014593,0.00012857,0.00014593,2021-09-17,1631836800,137.928354064,1067556.92
243,0.0001456,2021-09-16,0.00014731,0.00013724,0.00014327,2021-09-16,1631750400,120.03669350399998,824427.84
244,0.00014339,2021-09-15,0.00016223,0.00013972,0.00015111,2021-09-15,1631664000,159.4053610188,1111690.92
245,0.00015118,2021-09-14,0.00017581,0.00014808,0.00015954,2021-09-14,1631577600,224.4844501774,1484881.93
246,0.00015959,2021-09-13,0.00017701,0.00014391,0.00015346,2021-09-13,1631491200,377.4986848421,2365428.19
